side_a_outcome,side_b_outcome,side_a_total_ships,side_b_total_ships,side_a_total_planes,side_b_total_planes,side_a_total_sam_sites,side_b_total_sam_sites,side_a_total_fuel_available,side_b_total_fuel_available,side_a_aircraft_carrier,side_b_aircraft_carrier,side_a_destroyer,side_b_destroyer,side_a_frigate,side_b_frigate,side_a_corvette,side_b_corvette,side_a_amphibious_assault_ship,side_b_amphibious_assault_ship,side_a_patrol_boat,side_b_patrol_boat,side_a_f35a_lightning_ii,side_b_f35a_lightning_ii,side_a_kc135r_stratotanker,side_b_kc135r_stratotanker,side_a_a10c_thunderbolt_ii,side_b_a10c_thunderbolt_ii,side_a_b2_spirit,side_b_b2_spirit,side_a_f22_raptor,side_b_f22_raptor,side_a_c130_hercules,side_b_c130_hercules,side_a_c17_globemaster_iii,side_b_c17_globemaster_iii,side_a_f16_fighting_falcon,side_b_f16_fighting_falcon,side_a_f15_eagle,side_b_f15_eagle,side_a_fa18_hornet,side_b_fa18_hornet,side_a_b52_stratofortress,side_b_b52_stratofortress,side_a_f4_phantom_ii,side_b_f4_phantom_ii,side_a_b1b_lancer,side_b_b1b_lancer,side_a_c12_huron,side_b_c12_huron,side_a_f14_tomcat,side_b_f14_tomcat,side_a_total_weapons_stored,side_b_total_weapons_stored,side_a_total_missions_assigned,side_b_total_missions_assigned,side_a_patrol_missions_assigned,side_b_patrol_missions_assigned,side_a_strike_missions_assigned,side_b_strike_missions_assigned,
0,1,0,1,8,3,0,1,668911,8694074,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,21,0,2,0,0,0,2,
0,0,0,0,8,7,0,0,668911,129188,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,1,0,1,1,1,0,1,0,1,1,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,3,2,0,2,3,0,
0,0,0,0,8,4,0,0,668911,958525,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,1,0,1,0,1,0,1,1,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,2,1,0,0,2,
0,0,0,0,3,1,0,0,53994.41666666667,199990.69444444444,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,
0,1,0,0,0,2,2,1,0,277274,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,1,
0,1,0,0,0,2,2,1,0,184999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,
1,0,0,0,3,1,0,0,54000,200000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,
0,0,0,0,2,1,2,1,36498,36200,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,1,1,
0,1,0,0,1,1,2,0,36200,312197,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,
0,1,0,0,0,4,2,2,0,312074,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,2,0,0,0,3,0,0,0,1,
1,0,0,0,3,1,0,0,53994.41666666667,199990.69444444444,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,
0,1,0,0,3,5,0,0,48600,115600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,3,0,0,0,0,0,0,0,0,3,0,0,0,1,2,1,0,0,2,
0,0,0,0,0,1,2,1,0,14400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,
0,0,0,0,0,1,2,1,0,11000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,
0,1,0,0,0,2,2,1,0,326087,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,1,
1,1,0,0,1,2,2,1,12000,301474,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,2,1,0,0,1,
0,1,0,0,0,2,2,1,0,184999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,
1,0,0,2,3,2,0,0,48600,28028800,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,3,0,0,0,1,2,1,1,0,1,
1,0,0,1,3,2,0,1,48600,3124197,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,3,0,0,0,1,2,1,0,0,2,
